video_name,generated_description
0.mp4," Добро пожаловать! Вы находитесь в бюро добрых дел. Общими усилиями мы собираем все хорошее, что есть в этом мире. Я Лариса Брохман, глава этого бюро. Начинай с нами свой день, и мы вернем тебе веру в человечество.    Заполни пробелы:    Началось все с того, что фермер стал замечать пропажу овощей и предусмотрительно установил скрытую камеру. Наверняка грешил на соседей, но оказалось, что его урожай демонстративно съедает наглый смелый сурок.    Не так ли, Ксюша? Подойди-ка.    Нет, я не соглашалась.   Что ж, мы подумали, ну раз тренд бразильский, пусть он и останется в Бразилии. Верно?  Правда, некоторые комментаторы назвали водителя занудой.   Но это уже другая история.  Движемся дальше. Автоконцерн КАМАЗ совместно со спортивно-техническим клубом «Экстрим Мотокросс»   провели исследование, которое показало, что Земля вращается вокруг Поэтому сегодня, взяв микрофон и здравый смысл, я решила проверить результаты этого исследования.  Как вы считаете, что крутится вокруг чего? Земля вокруг Солнца или Солнце вокруг Земли?  Конечно, Земля вокруг Солнца. "
1.mp4," Ты видел в жизни когда-нибудь Киркорова?    Да.   Да. Я работал на ЛАФ-радио, брат.    Да.  _  Вот это руками надо вытаскивать. Может, слайсами, Крис?  _  _  Ну, господи, как будто я другого спрашивал.  _ Банданы, я считаю, что это говно.  типа нарезок, как падает что-то.    И все.       Привет всем пережившим и отдохнувшим...         И охота увековечить ее рецепты в пространстве интернета .       Слушай, да, мне кажется, что...    То есть, как бы, ну, в Питере уже ресурс... "
2.mp4," Привет, вы смотрите True Detector, шоу в котором известные   и популярные  люди и их близкие друзья пытаются не поссориться   и не потерять друг друга.  С вами я, Кристи Краем, и самый суровый, самый молчаливый,   самый-  самый серьезный мистер Молчун.    *  Настоящее имя и фамилия Анастасия Балашова.  Ну все, теперь можете выдохнуть, я понимаю, что у нас такая   атмосфера, но мы справимся.  атмосфера очень серьезная, может запугать, но мы этого   не боимся.  мне особо и страшно.    Заполни проб Ну а ты будешь говорить правду сегодня?  Не скажу. Ну, это парень не из Dream Team, "
3.mp4," Мне 20 лет, я еще молодой, горячий…    Я тебя сейчас убью!  …  Ты сейчас поплательшься за это!    …  Иди сюда, я тебя оттануру!    …Я тебя сейчас убью Один банк, два игрока и видеоигры.  Ты получается дотер, опытный.  А я с музыки, кстати.    Привет, как дела?  Как успехи на киберспортивном поприще?     Ну слушай, ты в какой-то момент изначально, да, ты такой,   ну, ты такой  Либо стример, либо киберспорт.    Да, да Симпл, Мажорик выигрывает, а потом сидит и с кайфом "
4.mp4," Ну и где он? Мы сейчас его уже ждем.    А он:  «  Ты что, дурак, что ли, а? Этого вообще не хватит.   Давай еще».  «  Бабуль больше не дала.   Я не буду больше». Ждал, пока уснет, досыпал еще.  Мы приходим к подписчику, жестко убираемся у него,  в этой квартире творится полнейший хаос,     и мне кажется, где-то есть западлянка какая-то.    Я говорю: ""  Ребят, давайте не в этой комнате делать всевозможные   разводы,   какие-то наши жеревьевки, что-то, ой, я даже...    Я говорю: "" что разводы появляются вот на этой тумбочке, "
5.mp4," Здарова всем тем, кто находится по ту сторону экрана.    Меня зовут Александр.  Я ведущий.   Друзья, согласитесь, на просторах интернета огромное количество всякого контента,   который можно использовать в качестве шляпы. Сегодня мы, мои коллеги Денис и Егор,  потому что он в свой инстаграм на целые сутки должен выложить такую шляпу,  Это шоу Шляпа. Мы начинаем. Погнали, уберем ее.  Я напомню, что тот, у кого видосик сразу зашкварный, будет сидеть вот так.    Сундук.  Сундук.  Сундук.  ""  Я сказал, рядовой подтягиваемся.    Сундук Все, все на месте.  Да, ладно, все отлично. Сундук.  нашу передачу или нашу шоу смотреть еще очень-очень "
6.mp4," Пожалуйста, не рассказывай. Шоу, в котором знаменитые друзья расскажут друг про друга, самые постыдные истории из жизни.    Привет, друзья!  Ну а пока встречайте, Иван Пышненко и Дмитрий Кожома, настоящие друзья. Привет, ребят.    Привет, привет, привет.   Привет, спасибо, что пришли. Здравствуйте. Ну что, как давно вы дружите? Сколько лет? И самое главное, как вы познакомились?    Привет, Двадцать лет на сцене?  Двадцать лет на сцене, да.  В институте. Сейчас я расскажу.    В институте.  Где?  Я спросил, где? Я просто, я, я такой ощущение, как будто я неправильно задаю вопрос.    В институте.  В институте.   Леша говорит, Ваня это Дима, Дима это Ваня.  Да, но она не то чтобы какая-то очень смешная история,  Я хотел измором тебя взять. "
7.mp4," Всем добрый вечер, ночь, утро, день или что там у вас, когда вы решили заняться   спортом. Алла Шишкина - вице-  чемпионка мира по синхронному плаванию. Трехкратная олимпийская чемпионка по синхронному плаванию.    Здравствуйте, друзья!  Встречайте Алла Шишкина! Вас аплодисменты, друзья! Мы за кадром, признаюсь, немножко пообщались.    Как к готовиться? Лучше готовиться к самому худшему, чтобы потом порадоваться, что все получилось.  Ты тренируешься по синхронному плаванию? Ребятишек, девчонок, мальчишек, взрослых, может быть?  некоторых спортсменов. Да, было такое. Я с ними общался. Они мне реально сказали, что я сдохну . И я сдох.   И очки прям, и шапки? Да, обязательно. А без них мы не будем никак? Нет, можешь попробовать, но будь тяжелее.    А что, это правда?  Да.  В каком году прошли первые соревнования по синхронному плаванию на Олимпиаде?  Ну, прошу. Так, моя мечта сбылась.  И это правильный ответ. "
8.mp4," А давайте сейчас еще немножко в детство. А полюция первая была?    Нет, у меня не было полюции.   Не, у меня вообще не было никогда полюции.   А почему? Ну Короче, полюция из-за того, что у тебя переизбыток...  Вообще, да. Это же зависит от того, что если ты...  Когда ты уже в сознательном возрасте, твой организм и у тебя нерегулярный секс,  Я если бы узнал, что...    Я бы узнал, что... ...  Он не должен дрочить, он не должен трогать свой член сам.    Это не я.  Это ты сейчас у тебя в Верга Бауэлла в обществе.    Это А это плохо или хорошо?  Что это в натуре стрёмно. "
9.mp4,"снегоход , берег , лыжи , велосипед ,лыжи, бобслей ,лыжи,</s>шлем , пакет , картинг , заколка , сани ,снег.</s>"
