video_name,stt_name,category_name,title,description
0.mp4,0.txt,Развлечения,Правильная цена I #3,"С вами Макс Климток и это шоу Правильная цена! Шоу, в котором участники зарабатывают баллы, угадывая правильные цены товаров и услуг. Сегодня мы узнаем, как в ценах ориентируются Бинет Сен,  Женя Лизогубенко и Кика Кика За просмотр шоу вы также можете заплатить свою цену - поставить лайк, подписаться на канал и оставить комментарий."
1.mp4,1.txt,Спорт/Игры,Три лошадиные силы | Выпуск №2,"В этом новом выпуске нас ждут не менее новые и безумные челленжи наших сумасшедших и харизматичных ведущих! Аварии, гонка, надувные женщины... Что ждет их на очередном пути к победе. Ставь лайки, пиши комментарии и подписывайся. Агабекян Авет ... Саша Стоун / Макс Игумнов /   #челленджи #челленджи2021"
2.mp4,2.txt,Блоги,Хашлама | Выпуск 4 | Силиконовый ПРЕСС Давы | Скандал ВкусВилл | ТикТоки Погребняк,"Привет, это Султан и Авет! Мы опять хаваем вкусное и не очень вкусное, а также обсуждаем всевозможные зашквары. В этом выпуске мы высмеяли дешевый пресс Давы, поржали над тиктоками Погребняк, Обсудили Тбилиси и конечно же не смогли пройти мимо скандала со ВкусВиллом. Ставьте лайки и комменты, приятного просмотра. #шоу #хашлама #дава  Авет - Султан - /  Сотрудничество: email"
3.mp4,3.txt,Путешествия,Прогулка по стране - Владивосток,"Прогулка по Владивостоку. Самому большому городу Дальнего Востока. Предлагаем посмотреть на центральные улицы города и вместе с нами оценить самые интересные места и достопримечательности «столицы Приморского края»., погрузимся в непередаваемую атмосферу одного из красивейших городов России, не отвлекаясь ни на что лишнее."
4.mp4,4.txt,Искусство,Артмеханика. Выпуск 3. Татуировки + Mika Vino,"Были ли татуировки на теле Николая II? Почему татуировка – это важная часть национальной культуры? За какие татуировки никогда не возьмется мастер из самого модного тату-салона Москвы? Обо всем этом мы говорим в новом выпуске Артмеханика, а заодно узнаем, как  Mika Vino  попали на лэйбл «Газгольдер». Кстати,   в этом выпуске они впервые исполнят главный саундтрек к сериалу «И снова Здравствуйте». Не пропусти."
5.mp4,5.txt,Блоги,Пробы | Выпуск 5 | Майор Дрозд,На этот раз актеры проходят кастинг на роли в первый боевик режиссера Геры Теплого.
6.mp4,6.txt,Авто-мото,$1000 шоу | 10 выпуск | Готовь резину,"В новом выпуске 1000$ шоу Дима Гордей проведёт очередной челлендж на новой крутой трассе! 4 команды подписчиков будут перевозить зимнюю резину на скорость. Возить её они будут не в багажнике или салоне, а на закреплённых за тачкой палетках! 1000 $  заберет та команда, которая закинет на 3х метровый столб максимальное количество шин за отведённое время! Будет пыльно!"
7.mp4,7.txt,Развлечения,Фея-Крёстная | №1 | Фейя,"В этом выпуске Ассоль приведет в ателье к Рабиа Халилли Фейю – очень хрупкую, нежную девушку. На первый взгляд может показаться, что ей едва ли стукнуло 18 лет. На самом деле уже завтра Фейе исполнится… 30! По этому поводу девушка хочет устроить изысканный ужин с подругами. Но, во-первых, у нее в гардеробе нет ни одного торжественного наряда. Во-вторых, девушку немного пугает эта цифра... Фейя обращается за помощью в проект «Фея Крестная», чтобы спасти день рождения и шагнуть в новую жизнь в потрясающем платье от кутюр."
8.mp4,8.txt,Спорт,Путь бойца. НОВЫЙ УРОВЕНЬ. 2 серия,"Почти половина участников завалила первый этап и покинула проект. Конкуренция среди оставшихся бойцов растет. В новых испытаниях им предстоит проявить свою харизму и, конечно же, боевые навыки. Смогут ли участники сохранить дружеские отношения, или стресс и желание победить подтолкнут их к конфликтам между собой?"
9.mp4,9.txt,Развлечения,Фея-Крёстная | №2 | Даша,"В этом выпуске за помощью к Рабиа Халилли обратилась Даша. Она только недавно поступила в институт, но ей уже выпала честь быть напарницей на конкурсе Мистер Университет. Первокурсница уже сломала голову над внешним видом. Кто-то из конкурсанток шьет платья на заказ. Но у 18-летней девочки нет бюджета на такую роскошь. Она не могла даже мечтать о том, что выйдет на дефиле в платье от кутюр. Но в проекте «Фея Крестная» нет ничего невозможного, и Рабиа Халилли и Ассоль помогут Даше почувствовать себя настоящей принцессой."
10.mp4,10.txt,Сериалы,"Салют, Начальник [Официальный трейлер]","Ровно через неделю Начальник будет отправлен в незапланированную командировку, где будет решать проблемы местных жителей. Но он даже не представляет, с какими сложностями ему придется столкнуться… Чем же закончится секретная операция провинциального участкового? Узнаете уже скоро! С 16 сентября премьера сериала «Салют, Начальник» эксклюзивно на Rutube."
11.mp4,11.txt,Детям,Лесенка знаний: мастерство I 6 серия I Парикмахер,"Чтобы казаться взрослее, Макс тайно отрезает волосы у Лизы и делает из них усы. Лиза расстроена и теперь Максу предстоит переместиться в прошлое, чтобы исправить свою ошибку."
12.mp4,12.txt,Развлечения,Алкомафия I #2,"Это Алкомафия! Шоу, в котором комики играют в мафию и пьют горячительные напитки. Градус игры повышается с каждым выпитым бокалом. На розливе ведущий Семен Голубь. Сегодня за звание лучшего игрока и пять тысяч рублей сражаются Антон Истомин, Женя Тасенков, Кирилл Лаврухин, Александр Фукс, Борис Зелигер"
13.mp4,13.txt,Блоги,"Поверь мне, подруга I #5 I Я не умею ухаживать за собой","На ногах появились волосы, а лицо покрылась прыщами? Не переживай, это нормально. С этим сталкиваются все подростки. В сегодняшнем выпуске Аня Хилькевич расскажет, как правильно ухаживать за собой, чтобы избавиться от возникших проблем."
14.mp4,14.txt,Путешествия,Один выходной | Выпуск 5 | Куда сходить на праздники с детьми?,"Москва прекрасна в Новый Год, открываются ярмарки, появляются арт объекты, зажигаются яркие огни. Самое время прогулок всей семьей!  Но чем же заняться на каникулах. Какая ярмарка самая красивая? Где бесплатно можно посмотреть выставку Ёлок. И где в тепле найти снежный замок?  Одвайтесь по теплее, берите всю семью сейчас Ташэ расскажет вам, как провести один выходной!"
15.mp4,15.txt,Авто-мото,$1000 шоу | 1 выпуск | Автобоулинг,"В этом выпуске, популярный автоблогер Дима Гордей, разыграет среди своих подписчиков 1000$! Чтобы забрать деньги- нужно сбить своей машиной максимальное количество кегель-бочек. На это участникам даётся две попытки. Готовьте чайоку-поехали!"
16.mp4,16.txt,Развлечения,Диктант со звездой | Выпуск 5 | Николай Должанский,"Проверить свою грамотность в этом выпуске готов без пяти минут кандидат наук, известный рэпер «Дома-2», чемпион по спорам вокруг слова «абзац» Николай Должанский. Получится ли у Николая смягчить строгого учителя собственными текстами, и сможет ли он написать без ошибок диктант про героя по имени Колябок?"
17.mp4,17.txt,Спорт,Байкальская миля 2020: лед и скорость!,"На фестивале  скорости «Байкальская миля 2020» представили более 100 единиц уникальной техники. Холодный лед Байкала горячо встретил участников и зрителей фестиваля скорости «Байкальская миля», который состоялся в Республике Бурятия с 27 февраля по 29 февраля 2020.  Более ста представителей российских и европейских команд приехали на озеро Байкал, чтобы  установить рекорды скорости на ледяной глади великого озера. Репортаж Татьяны Першиной."
18.mp4,18.txt,Эзотерика,Такой расклад. Эфир 8. Руны. Про отношения в семье,"В этом выпуске шоу «Такой расклад» вы увидите рунолога Дарью Холикэт и ведущую Янину Студилину. Встречаемся в 20:00! Тема недели и этого выпуска – отношения в семье. В прямом эфире Дарья с помощью рун ответит на вопросы об в отношениях с близкими и дальними родственниками, о сложностях или перспективах в семье и вообще о том, как ужиться вместе. Любые вопросы, связанные с темой, приветствуются! Дорогие зрители, вопросы по теме можно задавать в чате прямо на странице трансляции. И по ссылкам: Telegram-бот  Официальная страница RUTUBE -23459697_133757 В среду 25 ноября в 20:00 отвечать на вопросы зрителей с помощью метафорических ассоциативных карт будет мак-терапевт и психолог Вероника Копейко. Включайте прямой эфир!"
19.mp4,19.txt,Лайфстайл,"Почетный гражданин, 2 сезон | Выпуск 4 | Воронеж","Женя Искандарова и Михаил Еремеев отправляются на родину Русского флота, столицу черноземья, город Воронеж. Героям предстоит посетить знаковые места города, пройти непростые испытания и убедить остаться в родном городе символ Воронежа котенка с улицы Лизюкова. Вернуть свои деньги и телефоны они смогут только если пройдут квест до конца."
